stats_type,popgrp,age_group_m3,Prov_En_1990,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,52,0_14,Liaoning,0.00341922056900947,0.7941633020768184,0.9494411076277758,-12
within-group,55,0_14,Ningxia,0.00105941200851006,0.838509654409885,0.9494411076277758,-12
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.759076552665702,0.9494411076277758,-12
within-group,61,0_14,Shaanxi,0.00494501940169968,0.9549772998612028,0.9494411076277758,-12
within-group,64,0_14,Shandong,0.0132681820105458,0.9534039359927896,0.9494411076277758,-12
within-group,67,0_14,Shanghai,0.00175819768793889,0.9830163692760758,0.9494411076277758,-12
within-group,70,0_14,Shanxi,0.00408244315435452,0.8896462875120364,0.9494411076277758,-12
within-group,73,0_14,Sichuan,0.01337774208945019,0.9940930533093024,0.9494411076277758,-12
within-group,76,0_14,Tianjin,0.00134811687091403,0.8911606778070639,0.9494411076277758,-12
within-group,79,0_14,Tibet,6.44329308226729e-4,0.712361112217077,0.9494411076277758,-12
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.8254101727443491,0.9494411076277758,-12
within-group,85,0_14,Yunnan,0.006666392519298,0.9992090352982232,0.9494411076277758,-12
within-group,88,0_14,Zhejiang,0.00606367244250025,0.9940423798482456,0.9494411076277758,-12
within-group,1,0_14,Anhui,0.00815903213514205,0.9799159796078306,0.9431996274836656,-11
within-group,4,0_14,Beijing,0.00187020855252295,0.8776023776987023,0.9431996274836656,-11
within-group,7,0_14,Fujian,0.00576178991622385,0.9993738279527986,0.9431996274836656,-11
within-group,10,0_14,Gansu,0.00347206328980528,0.8607565605729868,0.9431996274836656,-11
within-group,13,0_14,Guangdong,0.01715405353434751,0.9991646219992988,0.9431996274836656,-11
within-group,16,0_14,Guangxi,0.00854635802776593,0.9993517124654452,0.9431996274836656,-11
within-group,19,0_14,Guizhou,0.00666968621359777,0.9950461186479436,0.9431996274836656,-11
within-group,22,0_14,Hainan,0.00143857438888176,1,0.9431996274836656,-11
within-group,25,0_14,Hebei,0.01047287258744416,0.90062449224735,0.9431996274836656,-11
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.6731160486987564,0.9431996274836656,-11
within-group,31,0_14,Henan,0.0158942652598008,0.9738636750965484,0.9431996274836656,-11
within-group,34,0_14,Hubei,0.0067778895560246,0.99048409727285,0.9431996274836656,-11
within-group,37,0_14,Hunan,0.00922473636990096,0.9933688630050486,0.9431996274836656,-11
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.6992319620078694,0.9431996274836656,-11
within-group,43,0_14,Jiangsu,0.00900905712673314,0.9746399911308744,0.9431996274836656,-11
within-group,46,0_14,Jiangxi,0.00716065594808189,0.9956539550384874,0.9431996274836656,-11
within-group,49,0_14,Jilin,0.00184261845024983,0.7012265428403589,0.9431996274836656,-11
within-group,52,0_14,Liaoning,0.00341922056900947,0.7791730190255808,0.9431996274836656,-11
within-group,55,0_14,Ningxia,0.00105941200851006,0.822705911063485,0.9431996274836656,-11
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.7415752762477897,0.9431996274836656,-11
within-group,61,0_14,Shaanxi,0.00494501940169968,0.9468727264905118,0.9431996274836656,-11
within-group,64,0_14,Shandong,0.0132681820105458,0.9409947196332368,0.9431996274836656,-11
within-group,67,0_14,Shanghai,0.00175819768793889,0.980082350579785,0.9431996274836656,-11
within-group,70,0_14,Shanxi,0.00408244315435452,0.8748062509440439,0.9431996274836656,-11
within-group,73,0_14,Sichuan,0.01337774208945019,0.9932923483971392,0.9431996274836656,-11
within-group,76,0_14,Tianjin,0.00134811687091403,0.8768900404323334,0.9431996274836656,-11
within-group,79,0_14,Tibet,6.44329308226729e-4,0.696755421088504,0.9431996274836656,-11
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.8104829712529866,0.9431996274836656,-11
within-group,85,0_14,Yunnan,0.006666392519298,0.99890463773111,0.9431996274836656,-11
within-group,88,0_14,Zhejiang,0.00606367244250025,0.9929091063423156,0.9431996274836656,-11
within-group,1,0_14,Anhui,0.00815903213514205,0.9741683678353562,0.9365709554165856,-10
within-group,4,0_14,Beijing,0.00187020855252295,0.8637347067550387,0.9365709554165856,-10
